FIELD_Country,lat,lon,FIELD_name,FIELD_County,FIELD_plantingSeason,FIELD_pipeline,FIELD_year,commercialName,createdBrand,OBS_code,OBS_numValue,REP_repetitionNumber,QC_Flag,OBS_growthStage,protocolType,protocolTitle,createdTechnology
Argentina,-32.9631504,-63.95945837,GGBLAN_CARNERILLO_MANI_EARLY_F23,Rio Cuarto,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V8,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Uruguay,-34.4486849,-56.9574512,ORODR3_LABOYADA_DIEGOBOTTA_EARLY_2324,San Jose,2023,South,2023,DK7210RR2,DEKALB,DSSFP,4,1,NA,V4,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Uruguay,-34.4486849,-56.9574512,ORODR3_LABOYADA_DIEGOBOTTA_EARLY_2324,San Jose,2023,South,2023,DK7272TRE,NA,DSSFP,0,1,NA,V4,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-34.1961062,-64.2504634,GGBLAN_VICUNA_HARAS_EARLY_F23,Rio Cuarto,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V7,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-32.85611936,-61.55661772,EEBONA_ARMSTRONG_DELVECHIO_EARLY_F23,Belgrano,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-31.3293072,-60.8926082,VVSENK_CULULU_AGROMAT_EARLY_F23,Las Colonias,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V5,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-36.6616623,-62.180149,GLNQJ_DAIREAUX_ALGARRAHNOS_EARLY_EVE23,Daireaux,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V7,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-33.4839294,-61.2610336,EEBONA_BOMBAL_GIROTTI_EARLY_F23,Constitucion,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-31.3229275,-61.5223214,VVSENK_RAFAELA_ALLEGRO_EARLY_F23,Castellanos,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-36.0411244,-63.0751358,GLNQJ_MARILAUQUEN_PEREDAHNOS_EARLY_F23,Trenque Lauquen,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V8,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Uruguay,-32.0624322,-53.9202976,ORODR3_BERACCHI_ADECO_EARLY_2324,Rocha,2023,South,2023,AX7818VT3P,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Uruguay,-32.0624322,-53.9202976,ORODR3_BERACCHI_ADECO_EARLY_2324,Rocha,2023,South,2023,DK7210VT3P,DEKALB,DSSFP,86,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Uruguay,-32.5491851,-57.8139089,ORODR3_PAYSANDU_SANFRANCISCOJAVIER_EARLY_2324,Rio Negro,2023,South,2023,DK7272TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Uruguay,-32.5491851,-57.8139089,ORODR3_PAYSANDU_SANFRANCISCOJAVIER_EARLY_2324,Rio Negro,2023,South,2023,DK7210RR2,DEKALB,DSSFP,48,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-33.3561655,-62.0375183,EEBONA_CAFFERATA_PIERELLA_EARLY_F23,General Lopez,2023,South,2023,DK7210RR2,DEKALB,DSSFP,1,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-33.7819568,-61.1865898,EEBONA_WHEELWRIGTH_GUTIERREZ_EARLY_F23,General Lopez,2023,South,2023,DK7272VT3P,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Uruguay,-32.9737664,-55.8775694,ORODR3_SANJORGE_PUPPO_EARLY_2324,Durazno,2023,South,2023,DK7272TRE,NA,DSSFP,0,1,NA,V5,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Uruguay,-32.9737664,-55.8775694,ORODR3_SANJORGE_PUPPO_EARLY_2324,Durazno,2023,South,2023,DK7210RR2,DEKALB,DSSFP,59,1,NA,V5,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-35.0538748,-62.948809,GLNQJ_GENERALVILLEGAS_GUIDI_EARLY_EVE23,General Villegas,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-31.8500269,-60.5352644,VVSENK_OROVERDE_MELCHIORI_EARLY_EVE23,Parana,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-30.2984078,-58.472762,VVSENK_FELICIANO_GARAT_EARLY_F23,Federacion,2023,South,2023,DK7272VT3P,NA,DSSFP,3,1,NA,Not Applicable,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-30.2984078,-58.472762,VVSENK_FELICIANO_GARAT_EARLY_F23,Federacion,2023,South,2023,DK7210PRO4,NA,DSSFP,0,1,NA,Not Applicable,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PRO4
Argentina,-30.2984078,-58.472762,VVSENK_FELICIANO_GARAT_EARLY_F23,Federacion,2023,South,2023,DK7210RR2,DEKALB,DSSFP,4,1,NA,Not Applicable,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-30.2984078,-58.472762,VVSENK_FELICIANO_GARAT_EARLY_F23,Federacion,2023,South,2023,DK7272TRE,NA,DSSFP,0,1,NA,Not Applicable,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-36.6910389,-62.9775311,GLNQJ_SALLIQUELO_ELORRIAGA_EARLY_F23,Salliquelo,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V4,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,NK842VIPTERA3,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VIP3
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,DK7270TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,LT720VT3P,LA TIJERETA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,AX7761VT3P,NIDERA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,AY6924MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,DK7447TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,DK6962VT3P,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,DK7208TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,DK7272VT3P,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,LT721TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,NEXT226PWUE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PWU
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,LT723TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,AX7370MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,AX7039MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,NS7921VIP3CL,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VIP3
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,DK7210PRO4,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PRO4
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,AY6923MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,AX7369MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,DK7220VTPRO4,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PRO4
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,LT725TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,DK7303TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,BRV8380PWUE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PWU
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,LT344TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.4137555,-58.89684439,VVSENK_BASAVILBASO_ECKERDT_EARLY_F23,Gualeguaychu,2023,South,2023,DK7272TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-36.3626594,-63.3208222,GLNQJ_PELLEGRINI_MAGNASCO_EARLY_FFUNG23,Trenque Lauquen,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-34.4132083,-62.1787192,EEBONA_DIEGODEALVEAR_LACATALINA_EARLY_F23,General Lopez,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-31.867373,-60.3223262,VVSENK_SAUCE PINTO_RSCHENFELD_EARLY_F23,Parana,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-34.0167762,-61.3601914,EEBONA_TEODELINA_SANTAJUAN_EARLY_E23,General Lopez,2023,South,2023,DK7272VT3P,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.5573957,-64.3837186,GGBLAN_BUSILLI_ELENA_EARLY_FFUNG23,Rio Cuarto,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,Not Applicable,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-35.6388737,-63.6071984,GLNQJ_GENERALPICO_COSUFI_EARLY_F23,Maraco,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Uruguay,-33.7277937,-56.8860562,ORODR3_CERROCOLORADO_MOLISOR_EARLY_2324,Flores,2023,South,2023,DK7272TRE,NA,DSSFP,0,1,NA,V5,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Uruguay,-33.7277937,-56.8860562,ORODR3_CERROCOLORADO_MOLISOR_EARLY_2324,Flores,2023,South,2023,DK7210RR2,DEKALB,DSSFP,55,1,NA,V5,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-36.12883537,-61.75379068,GLNQJ_PEHUAJO_REYNOLDS_EARLY_F23,Pehuajo,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V7,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,LT721TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,DK7210PRO4,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PRO4
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,DK7303TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,DK7208TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,NK842VIPTERA3,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VIP3
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,AY6923MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,AX7370MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,LT720VT3P,LA TIJERETA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,AX7761VT3P,NIDERA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,NEXT226PWUE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PWU
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,DK6962VT3P,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,AY6924MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,DK7270TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,BRV8380PWUE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PWU
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,LT725TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,DK7272VT3P,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,LT723TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,AX7369MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,DK7272TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,NS7921VIP3CL,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VIP3
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,LT344TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,DK7220VTPRO4,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PRO4
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,DK7447TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.3877357,-59.47083967,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,Nogoya,2023,South,2023,AX7039MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-32.65433469,-59.25417623,VVSENK_GALARZA_MENDIZABAL_EARLY_EVE23,Gualeguay,2023,South,2023,LT344TRE,NA,DSSFP,2,1,NA,V5,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-32.65433469,-59.25417623,VVSENK_GALARZA_MENDIZABAL_EARLY_EVE23,Gualeguay,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V5,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,DK7220VTPRO4,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PRO4
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,DK7208TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,LT720VT3P,LA TIJERETA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,LT721TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,AY6924MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,DK7303TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,DK7447TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,AX7370MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,DK7272VT3P,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,AY6923MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,NK842VIPTERA3,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VIP3
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,AX7369MQK1,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,NS7921VIP3CL,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VIP3
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,LT723TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,DK7270TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,DK7272TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,AX7761VT3P,NIDERA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,BRV8380PWUE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PWU
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,NEXT226PWUE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),PWU
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,LT725TRE,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE
Argentina,-33.345075,-62.158788,DBORE_COLONIAITALIANA_TRECCO_EARLY_FFUNG23,Marcos Juarez,2023,South,2023,DK6962VT3P,NA,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),VT3P
